Wall time,Step,Value
1741880940.2397504,855500,-18435.51953125
1741880960.6148965,856000,-8159.0263671875
1741881105.270217,859500,-12147.685546875
1741881187.9483786,861500,-14042.7900390625
1741881208.1118505,862000,-20464.30078125
1741881249.2030542,863000,-20314.216796875
1741881352.9012346,865500,-9826.3349609375
1741881517.533925,869500,-21692.3984375
1741881537.420429,870000,-4384.92529296875
1741881619.124222,872000,-6741.8642578125
1741881659.6640465,873000,-6717.80126953125
1741881824.8150244,877000,-4906.11083984375
1741881844.72354,877500,-15974.1484375
1741882070.869449,883000,-19870.533203125
1741882277.8906312,888000,-21503.701171875
1741882319.0514266,889000,-13304.7646484375
1741882379.8903012,890500,-22645.580078125
1741882461.3143828,892500,-9641.7587890625
1741882482.5897431,893000,-13192.1875
1741882502.7484572,893500,-13402.154296875
1741882565.5157163,895000,-13683.7763671875
1741882626.394923,896500,-13373.873046875
1741882709.1688018,898500,-14326.599609375
1741882791.5744507,900500,-18157.064453125
1741883183.2166638,910000,-14082.056640625
1741883266.218684,912000,-4576.787109375
1741883348.9597225,914000,-2691.178466796875
1741883411.2373931,915500,-13192.248046875
1741883452.9469151,916500,-16587.560546875
1741883534.4098122,918500,-10707.0771484375
1741883575.609055,919500,-13211.369140625
1741883761.3813896,924000,-14177.9365234375
1741883843.895545,926000,-19012.544921875
1741884029.0843616,930500,-12256.1474609375
1741884133.391045,933000,-15090.6923828125
1741884153.5995533,933500,-4720.39794921875
1741884174.880254,934000,-7196.1806640625
1741884442.1431584,940500,-7390.98388671875
1741884503.4287302,942000,-4169.58935546875
1741884566.3021142,943500,-13420.703125
1741884607.901184,944500,-12102.5390625
1741884752.1006212,948000,-10970.98828125
1741884834.4692624,950000,-25486.216796875
1741884897.5377004,951500,-11575.1357421875
1741885022.1183286,954500,-13685.2978515625
1741885041.8022242,955000,-12120.427734375
1741885063.2593088,955500,-16988.86328125
1741885124.3494542,957000,-9014.1796875
1741885228.6749096,959500,-7661.32373046875
1741885351.8626084,962500,-8615.009765625
1741885372.921484,963000,-7046.083984375
1741885578.3919678,968000,-5653.73876953125
1741885598.9345894,968500,-13663.5576171875
1741885681.775172,970500,-5131.6328125
1741885702.8826585,971000,-10240.7763671875
1741885785.865514,973000,-14499.658203125
1741885826.877689,974000,-13425.2041015625
1741885950.203752,977000,-4074.785400390625
1741886011.8740487,978500,-12779.01953125
1741886094.0085707,980500,-7607.71728515625
1741886115.3219485,981000,-3436.96728515625
1741886155.4255614,982000,-13714.56640625
1741886176.7782264,982500,-14019.794921875
1741886218.248251,983500,-5279.3349609375
1741886444.538178,989000,-12265.7392578125
1741886486.1632347,990000,-14444.7451171875
1741886650.707764,994000,-8027.70068359375
1741886672.0808794,994500,-11069.7216796875
1741886734.3790264,996000,-9327.5146484375
1741887353.5037487,1011000,-4556.18408203125
